Liv__1 Liv__2 Liv__3 Liv__4 Liv__5 Myo__1 Myo__2 Myo__3 Myo__4 Myo__5
Aadac 31.4377054897779 31.084378003517 31.1653272121349 31.0034510969405 31.2487247271273 NA 26.1410985017132 NA 27.5419811358113 28.3327782565145
Aadat 30.9981314270973 30.7708189262861 30.7130739184016 30.5823198565501 30.8629545209799 NA NA NA NA NA
Aak1 23.4773699912696 23.6273156764344 23.2866249328764 NA 23.3643032516663 NA NA NA NA NA
Aamdc NA NA NA NA NA 28.0758200179105 28.8797283128276 28.6094387481015 28.7398881967958 29.0079582080692
Aars 31.0152705634668 30.7826319539237 30.5602439640598 30.8301701644306 30.7285972178155 27.6677619903247 27.2291900835994 26.9730965296976 27.4822025176434 24.3564619560924
Aarsd1 25.368505005425 24.1053435251481 25.4204858223681 24.7865385206494 25.1005243827163 NA 24.8477603795023 NA NA NA
Aass 32.4625056940405 32.4698641155668 32.0894174317762 31.9125025204505 32.4428048775548 NA NA NA NA NA
Abat 32.1429692038566 32.165280558091 31.9320038632219 31.6723127921566 32.1292820590781 NA NA NA NA NA
Abca6 29.8565145476926 29.9901426531001 28.1392513394209 27.8456731111577 28.5926322941087 NA 25.9018882871468 NA NA 25.9665636834042
Abcb11 30.1262461959173 30.1270037148106 29.9485484810594 29.9764795558437 30.2021187994432 NA NA NA NA NA
Abcb4 27.8038076014363 27.9452351690181 27.6750484395506 27.3455229907438 27.9214952300497 NA NA NA NA NA
Abcb7 26.8931232126823 25.6800644854947 27.8651147998771 26.7698793480679 25.3686383133018 NA 28.8872655636212 25.4056134818268 NA 25.6976392420045
Abcc2 28.3231677273348 28.8869672388639 28.0429111605796 27.6537262177199 28.1014921098768 28.316810309772 28.3568667435367 28.7265137166072 28.5669225069948 28.5728329941902
Abcc3 25.3926793237842 25.7447299062547 24.9786332211298 24.087625897338 25.2909710535953 NA NA NA NA NA
Abcc6 25.508325555214 24.8663581936085 NA 24.3747097380324 24.8805376730618 NA NA NA NA NA
Abcd3 32.0516154022276 31.4667950783559 31.7132215222774 32.0621370999317 32.2288709578062 NA 24.6428192776284 NA NA NA
Abce1 28.7865066808114 28.6613117593481 28.4729222476903 27.8774568208184 27.8651915639506 27.864177819629 28.5208570765352 28.5332008046695 26.0020489508 27.474231145179
Abcf1 28.259948283067 28.5502413483059 28.5374842930129 28.4333394493224 28.448750835342 NA NA NA 24.9674705427557 NA
Abcf2 26.7761108300258 25.6872169364977 25.1122334830933 25.9272432623595 25.2848238463509 NA NA NA NA 25.078466824464
Abcg2 26.9125385666314 27.552933591586 26.6806631760458 26.6479362596977 26.5911756014531 NA NA NA NA NA
Abhd11 25.4290045886652 25.7593001698095 25.5164995610109 25.5855077230811 25.1279045169245 25.9193515425687 25.0758115105292 26.2972353333647 25.6841746379641 25.2258023640304
Abhd14b 31.0139169322413 30.8010770847692 30.6962070462406 30.6982630599522 30.9783810864191 29.2029319358138 NA NA 29.1966818756082 NA
Abhd3 24.8008617412278 24.7140694462587 24.4590756773682 NA 24.6024726967119 NA NA NA NA NA
Abhd6 25.9727698970989 25.75093155484 25.5484908148514 26.2552165696333 26.1752545417781 NA NA NA NA NA
Abracl 24.9003825308163 24.6577112717935 24.8839595831202 NA NA NA NA NA NA NA
Abraxas2 NA 24.8687126827119 24.7323629714123 25.0358676210015 24.5628531840197 NA NA 25.6981187915181 NA NA
Acaa1a 29.0833529429096 29.0357594530127 29.1673799623615 28.7775869657458 28.8800605698496 NA NA NA NA NA
Acaa1b 32.5242002387649 31.7977169842213 32.0639716867758 32.0645588797791 32.3976103467936 29.6124209585463 24.9478361763896 NA NA NA
Acaa2 35.4874693778356 35.58693476875 35.4182883369443 35.699847512142 35.518679953512 32.8666609682475 32.5330125021885 32.8806330529133 32.6122504268658 32.468673467381
Acaca 30.2680795854738 30.9397634128807 30.7481303126012 31.0113836240233 30.8746496014542 26.8554119689521 26.7781301728198 25.8739254919469 26.0552662537993 NA
Acad10 29.1643442036513 28.7587280619129 28.9339303635452 28.8362266250618 28.7099023810316 27.3708299846835 26.7512044093128 26.4651982286073 26.8523963116039 26.7517661281058
Acad11 30.3092074706074 29.8136877801112 30.3115531524584 30.3155432809461 30.5511694455429 NA NA 26.4208979368335 NA NA
Acad8 29.5230729130261 29.6232067162273 28.9632384181698 29.42229405206 29.5344542732833 NA NA NA 27.3668600276572 26.6959815670893
Acad9 29.4266553634286 29.3061728324123 29.0152312984722 28.9144239206509 29.3248462978323 27.4995126747782 28.9272439606756 28.5469226260418 28.7529717616928 28.7130367866452
Acadl 33.387330448845 33.3460728502595 33.3659474965642 33.1574057404176 33.4429517148766 34.0880136179429 33.6523178167245 34.0065707734397 33.6782138504521 33.5245567043696
Acadm 33.5398561632126 33.505189342121 33.2838552971154 33.404927628974 33.444144214422 32.5555847189702 32.5566133029898 32.5743509276563 32.3500699120807 32.2865856029579
Acads 32.3104331751706 32.4030602228559 32.3888227645113 32.2645074613092 32.433819421276 31.1613206017376 30.7249102037755 30.7854447952253 30.4279412759485 30.7098104029252
Acadsb 29.811169133158 29.5363957466088 29.6951313446566 29.6420984961469 29.5694427892921 27.9008801681498 26.4599487712816 NA 27.0196729098934 27.2232151711144
Acadvl 32.5537923395927 32.5932685002369 32.5429754631062 32.4079895297107 32.5652839750158 32.8202321689822 32.7871250284346 32.7076432355331 32.548594827136 32.6801761360874
Acat1 33.705070746769 33.6333228532226 33.5255818093621 33.2645273346473 33.6421776329005 32.5526766868039 32.4319919626594 32.3802072637835 32.2722538811009 32.235793055077
Acat3 32.1842264272397 32.2662967867178 32.3261030260825 32.1414351806295 32.3853613166213 NA 21.8095576505597 NA NA 22.7767803016453
Acbd3 25.7602197567305 25.734497223357 25.4570238480838 25.7124633485564 25.7633812204132 NA NA NA NA NA
Acbd5 28.551382213312 28.5953399227943 28.8251589008526 28.8339570915681 28.7320862038954 NA 29.242973179428 29.4580100095625 28.8601232643504 29.8767542671249
Acin1 27.8355759951242 28.7696024584068 27.9347812600847 28.1455070153576 28.4274775852081 NA 27.0284300431824 27.780906106901 27.9835075920554 27.7837553675047
Acly 30.5074109341305 29.5461796101922 30.5764970967189 29.1540283668372 30.7776814681412 NA NA NA NA 23.4885335737147
Acmsd 25.0469785516986 25.8785527091953 26.0853205005836 25.1301836845747 25.9865071916053 NA NA NA NA NA
Acnat1 25.5915141868434 25.4045123584373 25.5720584035943 25.6877871473846 25.5079463338985 NA NA NA NA NA
Aco1 32.8132169618069 32.5331840817788 32.5638661716945 32.2417526846737 32.5283434170697 NA 25.9211294107552 26.7443317596185 25.5790963401351 23.881855327109
Aco2 33.947165739214 33.9172007011131 33.6312958183873 33.2593510272847 33.8769066384605 36.5358013393706 36.3167998224862 36.6116008908831 36.3274245407395 36.3281368482552
Aco2.1 28.0590383115032 27.9787726724531 28.4004448324335 27.3196808127112 28.4053435040361 31.0383163749616 31.0674611397429 31.1555973599907 31.1664536589383 30.8856058839098
Acot1 29.4736430851651 29.3801791716615 30.2537087233773 30.4581855899998 30.1654816979023 NA 28.0479327858829 27.524248760347 27.3884799445196 28.3183162867211
Acot12 29.3019134590674 29.1881791749095 29.551288822319 29.3773203974658 29.4815427422448 NA NA NA NA NA
