Protein.ID Gene.Name name ID
88 ENSMUSP00000102138 Acsm3 Acsm3 ENSMUSP00000102138
89 ENSMUSP00000146938 Acsm5 Acsm5 ENSMUSP00000146938
90 ENSMUSP00000029135 Acss2 Acss2 ENSMUSP00000029135
91 ENSMUSP00000128209 Acss3 Acss3 ENSMUSP00000128209
92 ENSMUSP00000034453 Acta1 Acta1 ENSMUSP00000034453
93 ENSMUSP00000048218 Acta2 Acta2 ENSMUSP00000048218
94 ENSMUSP00000130611 Actb Actb ENSMUSP00000130611
95 ENSMUSP00000087736 Actc1 Actc1 ENSMUSP00000087736
96 ENSMUSP00000101822 Actg1 Actg1 ENSMUSP00000101822
97 ENSMUSP00000127176 Actn1 Actn1 ENSMUSP00000127176
98 ENSMUSP00000129609 Actn2 Actn2 ENSMUSP00000129609
99 ENSMUSP00000006626 Actn3 Actn3 ENSMUSP00000006626
100 ENSMUSP00000066068 Actn4 Actn4 ENSMUSP00000066068
101 ENSMUSP00000021479 Actr10 Actr10 ENSMUSP00000021479
102 ENSMUSP00000039844 Actr1a Actr1a ENSMUSP00000039844
103 ENSMUSP00000047326 Actr1b Actr1b ENSMUSP00000047326
104 ENSMUSP00000000137 Actr2 Actr2 ENSMUSP00000000137
105 ENSMUSP00000137503 Actr3 Actr3 ENSMUSP00000137503
106 ENSMUSP00000149789 Acy1 Acy1 ENSMUSP00000149789
107 ENSMUSP00000158512 Acy3 Acy3 ENSMUSP00000158512
108 ENSMUSP00000113161 Acyp1 Acyp1 ENSMUSP00000113161
109 ENSMUSP00000074195 Acyp2 Acyp2 ENSMUSP00000074195
110 ENSMUSP00000121402 Add1 Add1 ENSMUSP00000121402
111 ENSMUSP00000004232 Adh1 Adh1 ENSMUSP00000004232
112 ENSMUSP00000013458 Adh4 Adh4 ENSMUSP00000013458
113 ENSMUSP00000005964 Adh5 Adh5 ENSMUSP00000005964
114 ENSMUSP00000140592 Adhfe1 Adhfe1 ENSMUSP00000140592
115 ENSMUSP00000020957 Adi1 Adi1 ENSMUSP00000020957
116 ENSMUSP00000047665 Adk Adk ENSMUSP00000047665
117 ENSMUSP00000099677 Adprhl2 Adprhl2 ENSMUSP00000099677
118 ENSMUSP00000127593 Adsl Adsl ENSMUSP00000127593
119 ENSMUSP00000016105 Adss Adss ENSMUSP00000016105
120 ENSMUSP00000021726 Adssl1 Adssl1 ENSMUSP00000021726
121 ENSMUSP00000128891 Afdn Afdn ENSMUSP00000128891
122 ENSMUSP00000120389 Afg1l Afg1l ENSMUSP00000120389
123 ENSMUSP00000001520 Afg3l1 Afg3l1 ENSMUSP00000001520
124 ENSMUSP00000025408 Afg3l2 Afg3l2 ENSMUSP00000025408
125 ENSMUSP00000073102 Afmid Afmid ENSMUSP00000073102
126 ENSMUSP00000139503 Agfg1 Agfg1 ENSMUSP00000139503
127 ENSMUSP00000117351 Agfg2 Agfg2 ENSMUSP00000117351
128 ENSMUSP00000124149 Agl Agl ENSMUSP00000124149
129 ENSMUSP00000040853 Agmat Agmat ENSMUSP00000040853
130 ENSMUSP00000028286 Agpat2 Agpat2 ENSMUSP00000028286
131 ENSMUSP00000132954 Agpat3 Agpat3 ENSMUSP00000132954
132 ENSMUSP00000027491 Agxt Agxt ENSMUSP00000027491
133 ENSMUSP00000106171 Agxt2 Agxt2 ENSMUSP00000106171
134 ENSMUSP00000027768 Ahctf1 Ahctf1 ENSMUSP00000027768
135 ENSMUSP00000029490 Ahcyl1 Ahcyl1 ENSMUSP00000029490
136 ENSMUSP00000090633 Ahnak Ahnak ENSMUSP00000090633
137 ENSMUSP00000116582 Ahnak2 Ahnak2 ENSMUSP00000116582
138 ENSMUSP00000021425 Ahsa1 Ahsa1 ENSMUSP00000021425
139 ENSMUSP00000023583 Ahsg Ahsg ENSMUSP00000023583
140 ENSMUSP00000110595 Aifm1 Aifm1 ENSMUSP00000110595
141 ENSMUSP00000029663 Aimp1 Aimp1 ENSMUSP00000029663
142 ENSMUSP00000031613 Aimp2 Aimp2 ENSMUSP00000031613
143 ENSMUSP00000108903 Ak1 Ak1 ENSMUSP00000108903
144 ENSMUSP00000099664 Ak2 Ak2 ENSMUSP00000099664
145 ENSMUSP00000025696 Ak3 Ak3 ENSMUSP00000025696
146 ENSMUSP00000102559 Ak4 Ak4 ENSMUSP00000102559
147 ENSMUSP00000122295 Akap1 Akap1 ENSMUSP00000122295
148 ENSMUSP00000099967 Akap2 Akap2 ENSMUSP00000099967
149 ENSMUSP00000002699 Akap8 Akap8 ENSMUSP00000002699
150 ENSMUSP00000030455 Akr1a1 Akr1a1 ENSMUSP00000030455
151 ENSMUSP00000100045 Akr1b3 Akr1b3 ENSMUSP00000100045
152 ENSMUSP00000007449 Akr1b7 Akr1b7 ENSMUSP00000007449
153 ENSMUSP00000040244 Akr1b8 Akr1b8 ENSMUSP00000040244
154 ENSMUSP00000021632 Akr1c12 Akr1c12 ENSMUSP00000021632
155 ENSMUSP00000021634 Akr1c13 Akr1c13 ENSMUSP00000021634
156 ENSMUSP00000112664 Akr1c14 Akr1c14 ENSMUSP00000112664
157 ENSMUSP00000112666 Akr1c19 Akr1c19 ENSMUSP00000112666
158 ENSMUSP00000079232 Akr1c20 Akr1c20 ENSMUSP00000079232
159 ENSMUSP00000021630 Akr1c6 Akr1c6 ENSMUSP00000021630
160 ENSMUSP00000048830 Akr1d1 Akr1d1 ENSMUSP00000048830
161 ENSMUSP00000089459 Akr1e1 Akr1e1 ENSMUSP00000089459
162 ENSMUSP00000073459 Akr7a5 Akr7a5 ENSMUSP00000073459
163 ENSMUSP00000103068 Alad Alad ENSMUSP00000103068
164 ENSMUSP00000151891 Alas1 Alas1 ENSMUSP00000151891
165 ENSMUSP00000031314 Alb Alb ENSMUSP00000031314
166 ENSMUSP00000129714 Alcam Alcam ENSMUSP00000129714
167 ENSMUSP00000148069 Aldh16a1 Aldh16a1 ENSMUSP00000148069
168 ENSMUSP00000153410 Aldh1a1 Aldh1a1 ENSMUSP00000153410
169 ENSMUSP00000025656 Aldh1a7 Aldh1a7 ENSMUSP00000025656
170 ENSMUSP00000041260 Aldh1b1 Aldh1b1 ENSMUSP00000041260
171 ENSMUSP00000114304 Aldh1l1 Aldh1l1 ENSMUSP00000114304
172 ENSMUSP00000031411 Aldh2 Aldh2 ENSMUSP00000031411
173 ENSMUSP00000073764 Aldh3a2 Aldh3a2 ENSMUSP00000073764
174 ENSMUSP00000043821 Aldh4a1 Aldh4a1 ENSMUSP00000043821
175 ENSMUSP00000040591 Aldh5a1 Aldh5a1 ENSMUSP00000040591
176 ENSMUSP00000082288 Aldh6a1 Aldh6a1 ENSMUSP00000082288
177 ENSMUSP00000133372 Aldh7a1 Aldh7a1 ENSMUSP00000133372
178 ENSMUSP00000038878 Aldh8a1 Aldh8a1 ENSMUSP00000038878
179 ENSMUSP00000028004 Aldh9a1 Aldh9a1 ENSMUSP00000028004
180 ENSMUSP00000101955 Aldoa Aldoa ENSMUSP00000101955
181 ENSMUSP00000029987 Aldob Aldob ENSMUSP00000029987
182 ENSMUSP00000099536 Aldoc Aldoc ENSMUSP00000099536
183 ENSMUSP00000119260 Alg5 Alg5 ENSMUSP00000119260
184 ENSMUSP00000125425 Alg9 Alg9 ENSMUSP00000125425
185 ENSMUSP00000026125 Alyref Alyref ENSMUSP00000026125
186 ENSMUSP00000066915 Amacr Amacr ENSMUSP00000066915
187 ENSMUSP00000030041 Ambp Ambp ENSMUSP00000030041
188 ENSMUSP00000016034 Amdhd1 Amdhd1 ENSMUSP00000016034
189 ENSMUSP00000088217 Ampd1 Ampd1 ENSMUSP00000088217
190 ENSMUSP00000035230 Amt Amt ENSMUSP00000035230
191 ENSMUSP00000030280 Angptl3 Angptl3 ENSMUSP00000030280
192 ENSMUSP00000116533 Ank1 Ank1 ENSMUSP00000116533
193 ENSMUSP00000138356 Ank3 Ank3 ENSMUSP00000138356
194 ENSMUSP00000082652 Anp32a Anp32a ENSMUSP00000082652
195 ENSMUSP00000142810 Anp32e Anp32e ENSMUSP00000142810
