"logFC"	"logCPM"	"PValue"	"FDR"
"ENSMUSG00000028036"	4.35009000741892	3.1930591158245	1.76306298976956e-56	4.20007102562845e-54
"ENSMUSG00000118155"	-6.19301533122214	0.71976593216994	2.61547732690799e-56	6.13184128863985e-54
"ENSMUSG00000041293"	-4.37009173830109	0.714559141716462	2.58420371222766e-55	5.9638576296254e-53
"ENSMUSG00000099889"	4.02857060177655	2.0359735728027	4.68801690670953e-55	1.06526168787846e-52
"ENSMUSG00000028427"	5.80257327316372	0.517249527529552	7.59392342418676e-55	1.69942801477634e-52
"ENSMUSG00000032420"	2.24786089581009	4.7494263817616	2.34967370648198e-54	5.17980308130431e-52
"ENSMUSG00000032098"	2.58335280889301	3.18616191675594	3.95942090631786e-54	8.60009511563454e-52
"ENSMUSG00000000739"	-4.57747073333618	1.25204235535307	5.10114592817362e-53	1.09194094723369e-50
"ENSMUSG00000025203"	3.18476493982898	4.33065131017771	6.35666239038646e-53	1.34125576437154e-50
"ENSMUSG00000049723"	5.39149255563986	3.29716730724194	7.92170443550981e-53	1.64793766918986e-50
"ENSMUSG00000028664"	5.24378993840578	1.81461566554592	1.10362177230221e-51	2.26395744123662e-49
"ENSMUSG00000000303"	-2.77600747537767	4.01059000333795	1.19652238578841e-51	2.42090899151983e-49
"ENSMUSG00000027712"	1.72201936362479	7.23536982723738	2.15131996262574e-51	4.29391835783542e-49
"ENSMUSG00000028838"	2.56210882640776	3.14149600525585	3.16339874043994e-51	6.22978658617305e-49
"ENSMUSG00000041237"	1.91134105813672	6.93843361420305	5.04707167167733e-51	9.80858534087818e-49
"ENSMUSG00000025197"	-2.10287471495657	7.41408200792015	5.57977356893717e-51	1.07030202095068e-48
"ENSMUSG00000024118"	-1.93958342305877	6.38647971701807	1.96811694920273e-50	3.72680606919543e-48
"ENSMUSG00000020123"	-2.68826624183581	2.79189384609021	4.47558481557934e-50	8.3676440159629e-48
"ENSMUSG00000002944"	2.0106985492869	8.21718779284234	7.44015565962107e-50	1.37363873865754e-47
"ENSMUSG00000059743"	2.89840055117862	5.49748371314677	1.67111610713166e-49	3.0472080126339e-47
"ENSMUSG00000042248"	-1.95973144821219	8.62571445103879	1.75402973960365e-49	3.15939259194462e-47
"ENSMUSG00000030278"	3.47182656015473	6.4567284983498	4.53314898006986e-49	8.06682053441347e-47
"ENSMUSG00000037071"	3.88155339362235	13.5876044668131	2.40508556192385e-48	4.22894211304944e-46
"ENSMUSG00000022951"	2.16728837452616	5.50186956856395	9.14242541450612e-48	1.588630863203e-45
"ENSMUSG00000031349"	2.36684403996777	4.60013117492801	2.65224348304009e-47	4.55507398191885e-45
"ENSMUSG00000022010"	1.97496631844209	5.55153622454332	2.83876601710198e-47	4.81937633018348e-45
"ENSMUSG00000032080"	3.98918278846297	11.9908941052311	4.37278170137304e-47	7.33931656014543e-45
"ENSMUSG00000028961"	1.41902535756366	5.03720549006025	2.70805286456995e-46	4.49415065277507e-44
"ENSMUSG00000027456"	6.5478491752966	1.67895590490277	2.85854225611441e-46	4.69118545808999e-44
"ENSMUSG00000068877"	-4.74892857260375	5.00493933110937	3.95462467538102e-46	6.4186600500415e-44
"ENSMUSG00000054793"	-3.45108653436539	1.57205230898231	5.76398498924813e-46	9.25370198817335e-44
"ENSMUSG00000069668"	7.14783423274401	2.37809348109047	5.92235545948869e-46	9.40571936953204e-44
"ENSMUSG00000052396"	3.75969734816619	0.667098299863028	6.20130945383206e-46	9.74397240777654e-44
"ENSMUSG00000052302"	-2.79670426747994	2.34164978315662	6.47347169986973e-46	1.00645449481133e-43
"ENSMUSG00000045730"	2.71892714934365	2.17928205445652	2.02199079635202e-45	3.1109170898041e-43
"ENSMUSG00000032091"	5.59397347310186	0.718084100630481	2.43282998389746e-45	3.70442256310984e-43
"ENSMUSG00000109473"	-4.08891270767309	0.91899976649272	7.19724309829184e-45	1.08472735267113e-42
"ENSMUSG00000022090"	2.9899224625197	1.74457004378416	1.19172165916928e-44	1.77795241474042e-42
"ENSMUSG00000040660"	6.10665921614706	7.78060418732428	2.17592106156807e-44	3.18864717011133e-42
"ENSMUSG00000043122"	4.2948324623944	0.725170407085378	2.18045608788926e-44	3.18864717011133e-42
"ENSMUSG00000078798"	9.07572595438395	3.74738538988718	2.99302664783022e-44	4.3340199596522e-42
"ENSMUSG00000066607"	5.27000249691767	0.108933990206928	1.09823403085631e-43	1.57484627531532e-41
"ENSMUSG00000027907"	3.01130093419425	3.519751817648	2.07150004692858e-43	2.94192843203223e-41
"ENSMUSG00000093930"	1.91585070154201	7.34594413611812	8.74720973765138e-43	1.23044083642963e-40
"ENSMUSG00000017723"	2.95178784576623	3.85910913345782	1.21354588743621e-42	1.69095026013518e-40
"ENSMUSG00000032377"	1.91654880991098	2.71527832516695	1.42380163441633e-42	1.96537851778778e-40
"ENSMUSG00000003849"	1.81745958074803	4.1979419560143	1.57580206323354e-42	2.15505522907032e-40
"ENSMUSG00000034634"	6.13661884536213	5.04605892080071	2.05603943265863e-42	2.78602774498788e-40
"ENSMUSG00000022364"	1.74992308053504	3.67285863620916	3.71573845290587e-42	4.98922335903816e-40
"ENSMUSG00000066366"	-1.29904336964007	11.9735462018334	3.90017145200766e-42	5.18968759875254e-40
"ENSMUSG00000074377"	8.3007754841325	0.570581889104863	7.1054002489997e-42	9.37024657836835e-40
"ENSMUSG00000044071"	5.00754637837555	0.739146426551469	7.84498730916579e-42	1.02540232350778e-39
"ENSMUSG00000035775"	8.203698477727	0.476537089383285	8.1243505637318e-42	1.05260226163437e-39
"ENSMUSG00000078964"	-1.77929032571664	6.17893833013761	1.00350895420765e-41	1.28885454379539e-39
"ENSMUSG00000035686"	3.6363993956911	7.82452056928119	1.12257557316522e-41	1.42934838065951e-39
"ENSMUSG00000000628"	3.26756468584785	2.61419479441704	1.47395213799868e-41	1.86070710070432e-39
"ENSMUSG00000052684"	2.03891666818839	5.48371134161106	1.61989025410195e-41	2.0276083943293e-39
"ENSMUSG00000036110"	-1.34576529131919	7.04046429413583	2.64928179159922e-41	3.2882262236908e-39
"ENSMUSG00000078680"	-4.28194937611568	2.46244288365334	3.13529800860891e-41	3.85902929892947e-39
"ENSMUSG00000038079"	1.91809799098811	2.58387961892711	3.23806363750719e-41	3.95257850627944e-39
"ENSMUSG00000001313"	2.12673679956236	4.01519933908905	4.84220962092506e-41	5.86224886074289e-39
"ENSMUSG00000090264"	-3.66179818219831	5.7728859485599	5.82923152241702e-41	6.99981703952027e-39
"ENSMUSG00000000440"	1.56948261567593	4.45678566395426	6.03928010795601e-41	7.19356187052502e-39
"ENSMUSG00000078686"	-4.83291895649741	2.93889915307921	6.70875966604811e-41	7.91940608881959e-39
"ENSMUSG00000020122"	-2.76240321687463	7.48526699078087	6.75589145017785e-41	7.91940608881959e-39
"ENSMUSG00000021208"	2.93051111933511	3.437014783515	7.69861576253198e-41	8.95342951280294e-39
"ENSMUSG00000031963"	4.14480025198258	2.46617915833014	1.61786528957882e-40	1.86686486930306e-38
"ENSMUSG00000029254"	3.18947561119403	1.82689869876632	1.72769995449597e-40	1.97814948278337e-38
"ENSMUSG00000069922"	-1.65706416236013	9.27927398182599	1.77206966684964e-40	2.01334376764378e-38
"ENSMUSG00000097148"	-3.14723708062116	2.7700371515814	1.86869588862741e-40	2.10691895229213e-38
"ENSMUSG00000064246"	3.8835377412548	0.583162807376783	7.76919292629902e-40	8.69325602435125e-38
"ENSMUSG00000035299"	2.96521359472947	4.02253207530943	8.04083501219137e-40	8.92955888195989e-38
"ENSMUSG00000049109"	4.76928031546184	4.08936140994163	9.90957916341465e-40	1.09227227047488e-37
"ENSMUSG00000035112"	-3.36249794990057	0.913227183842883	2.40708476693965e-39	2.6335290376073e-37
"ENSMUSG00000027961"	3.19486007157598	0.955131966292598	3.62955403579056e-39	3.94180243445783e-37
"ENSMUSG00000030762"	3.02968794865939	4.72728001516747	3.84329667949213e-39	4.1434665661386e-37
"ENSMUSG00000024924"	2.17743858884945	4.08140084622099	7.11656539758913e-39	7.61678774799938e-37
"ENSMUSG00000098330"	-7.47847005571631	-0.320479115539611	7.44950052939078e-39	7.91576423159005e-37
"ENSMUSG00000029445"	-1.43795921366551	10.9959659195889	8.04943144277558e-39	8.49215017212823e-37
"ENSMUSG00000038092"	-8.03553737371709	0.884955698994539	1.36653562583393e-38	1.43147029741611e-36
"ENSMUSG00000059908"	-2.09755530681542	12.4680378343638	1.80278768753573e-38	1.87515310879596e-36
"ENSMUSG00000028051"	2.7314122244043	2.42541872674333	2.1531084975666e-38	2.22387500063347e-36
"ENSMUSG00000030800"	2.20497568825833	2.72644885438699	2.52924128554793e-38	2.59422873524604e-36
"ENSMUSG00000045776"	3.04566908051286	4.19824947110591	3.28996770341472e-38	3.35122917099554e-36
"ENSMUSG00000033488"	1.34523019195449	4.49378990529015	4.70111282665732e-38	4.75585181162525e-36
"ENSMUSG00000021876"	-1.8216051971901	9.00840170353216	4.92003362050941e-38	4.94346235203565e-36
"ENSMUSG00000091387"	-2.08392851795234	2.73577664739739	6.33320915256412e-38	6.32037156644405e-36
"ENSMUSG00000067225"	-2.2626318659647	8.49968863448418	1.18415847585449e-37	1.16768199369466e-35
"ENSMUSG00000062991"	3.54285318546287	1.04245533434516	1.18586526103046e-37	1.16768199369466e-35
"ENSMUSG00000002265"	-2.15072343062613	3.65784847167385	1.3765574649124e-37	1.34647375872557e-35
"ENSMUSG00000031150"	2.99346569543331	1.79352371080929	1.45027356698568e-37	1.40924609107753e-35
"ENSMUSG00000024747"	1.3440008047666	7.64580667889572	1.60891884916687e-37	1.55318505896698e-35
"ENSMUSG00000046971"	7.2022100883692	0.306077234932859	2.11445325198148e-37	2.02795289167314e-35
"ENSMUSG00000025503"	1.37387443626914	6.26606861259612	2.59214402930678e-37	2.47006240728136e-35
"ENSMUSG00000025453"	1.95529980094428	6.20144091960095	1.86468525808076e-36	1.76547443986236e-34
"ENSMUSG00000020538"	2.36984005321901	6.35175965510117	2.51463060659971e-36	2.36567478085846e-34
"ENSMUSG00000051579"	1.87483019852478	5.30957659827766	4.78642859139989e-36	4.47440191740357e-34
"ENSMUSG00000039131"	4.61942083554891	0.78620464413138	4.93817126613489e-36	4.5872194717492e-34
"ENSMUSG00000021373"	4.54105410064864	0.36550706424066	1.47570987620661e-35	1.36226467947323e-33
"ENSMUSG00000078687"	-5.06604358993346	0.589932081638318	2.19694129904333e-35	2.01545484390497e-33
"ENSMUSG00000057969"	2.87676961355866	1.65851294901221	2.5651202604567e-35	2.33869297820651e-33
"ENSMUSG00000047844"	3.531918983641	1.06431193792142	3.00942930693897e-35	2.72694913272936e-33
"ENSMUSG00000043079"	2.01815842180298	3.7956708493973	3.84985005490131e-35	3.46721251895685e-33
"ENSMUSG00000039533"	4.02412330619363	2.32800534800693	4.01348279671821e-35	3.59267520651685e-33
"ENSMUSG00000037148"	1.83566472152826	2.26185397393209	4.23718332194859e-35	3.77007214850486e-33
"ENSMUSG00000070810"	7.75806428205262	0.0461061358902403	4.2848839443282e-35	3.78968478189985e-33
"ENSMUSG00000022340"	3.8283084705555	0.353281100428784	5.93827108647907e-35	5.22072999686285e-33
"ENSMUSG00000020458"	1.33802033302611	6.98036839713538	6.13834719293348e-35	5.36469751713772e-33
"ENSMUSG00000023832"	1.38303085303036	5.53339556022011	7.4233345394292e-35	6.44956771455113e-33
"ENSMUSG00000049044"	-1.8015992705963	7.66520300012967	1.01451353733244e-34	8.76278651836268e-33
"ENSMUSG00000112527"	-3.64073636400677	-0.00904004533897323	1.0508336391785e-34	9.02372840155028e-33
"ENSMUSG00000035031"	-1.96771887152059	8.03903376566501	1.41313692448959e-34	1.2064758598099e-32
"ENSMUSG00000031271"	3.81708212750205	5.4125764440497	1.95575124819382e-34	1.66014057102429e-32
"ENSMUSG00000000078"	1.67285429880778	4.56302681026815	2.69636739936429e-34	2.27573408506346e-32
"ENSMUSG00000090555"	-1.65665433559069	3.74385678705968	2.85940948525887e-34	2.39962943734508e-32
"ENSMUSG00000073460"	2.59198422061861	2.24310320399612	4.09106084460374e-34	3.41384003812414e-32
"ENSMUSG00000055254"	4.17898276359787	2.21618604801904	4.99345154588243e-34	4.14344265913952e-32
"ENSMUSG00000034853"	2.02340979631517	3.46066022406054	6.6960767265301e-34	5.52519850563405e-32
"ENSMUSG00000021245"	-1.7200387156437	2.66396861566094	9.97079036976902e-34	8.1815874311938e-32
"ENSMUSG00000105263"	-2.39687486363075	3.52730253780949	1.09446283359663e-33	8.931058592388e-32
"ENSMUSG00000021638"	-1.39008977299554	3.96684476520578	2.47451696778183e-33	2.00816569308449e-31
"ENSMUSG00000037613"	2.72542696253063	1.55998562005552	2.97825461558978e-33	2.40376069247328e-31
"ENSMUSG00000026043"	2.01791994955452	4.78343309031368	3.90320729057404e-33	3.13317237400971e-31
"ENSMUSG00000001763"	-2.1684555269319	2.49902029381276	1.70043143025998e-32	1.35758768783459e-30
"ENSMUSG00000109291"	-1.81962265238315	1.83419724278796	1.79498812997172e-32	1.42537498277862e-30
"ENSMUSG00000078452"	2.11184201436717	5.92789246104305	2.12490706879872e-32	1.67833569016883e-30
"ENSMUSG00000025533"	-1.57362864968436	9.68513712254419	3.24472738145997e-32	2.54918209702999e-30
"ENSMUSG00000055782"	1.78100588736824	5.62394741835378	3.42203404033029e-32	2.67425623151737e-30
"ENSMUSG00000049721"	1.88009599215672	2.55243734070518	3.54079050649915e-32	2.75249872531539e-30
"ENSMUSG00000028469"	-1.74390626595632	4.73638347093853	3.6943307132497e-32	2.85682013794231e-30
"ENSMUSG00000022215"	2.25801146075063	5.23063133653469	4.74541979714004e-32	3.65051304186242e-30
"ENSMUSG00000001095"	-3.04930681567779	0.695798855308124	5.28008414045778e-32	4.04076905464049e-30
"ENSMUSG00000012123"	2.5267151795424	2.46004270544885	5.86140621956214e-32	4.46252421973881e-30
"ENSMUSG00000054263"	-1.19986075270405	6.8012102120492	6.13703617391993e-32	4.6484115019896e-30
"ENSMUSG00000055172"	-1.18067812104075	7.9151379358388	8.74109509552757e-32	6.58703951841542e-30
"ENSMUSG00000104445"	1.93542535345633	3.48062931562423	1.72102996488257e-31	1.29033566402617e-29
"ENSMUSG00000032849"	2.01758648808573	4.54408242650059	4.33956136841728e-31	3.23713744502643e-29
"ENSMUSG00000027750"	1.65954743131549	3.92446377884846	4.48323836900546e-31	3.32750908091511e-29
"ENSMUSG00000022947"	3.66527489591781	1.72169464775295	4.67415372829438e-31	3.4518625283454e-29
"ENSMUSG00000079037"	1.22324717072667	5.21482038185017	1.03594787822396e-30	7.61241301560591e-29
"ENSMUSG00000034220"	1.71438942232514	4.39313383550229	1.40992354036124e-30	1.03091934114532e-28
"ENSMUSG00000029272"	6.39355647793388	4.95946742049692	2.08344942308076e-30	1.51588906300014e-28
"ENSMUSG00000109841"	1.80441797112923	2.67467331397476	2.29500927304633e-30	1.66163171386737e-28
"ENSMUSG00000062061"	-3.94775881167996	0.594940693127559	2.90125613125282e-30	2.09031966139533e-28
"ENSMUSG00000074738"	3.47478027644298	0.768678794848632	2.98765042691883e-30	2.14211634978598e-28
"ENSMUSG00000089943"	2.3898922260148	6.28484494045247	3.75285244844353e-30	2.67323414556582e-28
"ENSMUSG00000032357"	5.00646199972778	-0.346472848809015	3.76460868163636e-30	2.67323414556582e-28
"ENSMUSG00000041828"	-1.52570995393499	5.64760483065352	5.3645040424371e-30	3.79108730654526e-28
"ENSMUSG00000022351"	2.90320012465757	3.79926547122707	5.68835865714512e-30	4.0008122555254e-28
"ENSMUSG00000060548"	2.00069749849078	2.96883711909079	6.3816136356249e-30	4.46712954493743e-28
"ENSMUSG00000037411"	4.15949465361754	3.41847236915329	6.65183605701363e-30	4.63432163028733e-28
"ENSMUSG00000026348"	-3.04934470842065	4.86678289989566	9.65674143692289e-30	6.69624746588503e-28
"ENSMUSG00000107198"	2.21996414246169	2.69087785652028	1.16071710090809e-29	8.01111756094043e-28
"ENSMUSG00000078688"	-2.40747831536257	2.94145790846803	1.23976380461552e-29	8.51688902054473e-28
"ENSMUSG00000030789"	2.58492837595701	1.26551188606252	3.31552671781029e-29	2.2671448899101e-27
"ENSMUSG00000050947"	-1.41427921354429	2.31873543720245	5.00716871765517e-29	3.40810515943626e-27
"ENSMUSG00000040350"	1.51711952438032	2.90840884347255	8.96107740687496e-29	6.0713354724561e-27
"ENSMUSG00000035439"	2.23151319366315	2.62183096206533	9.96171483636581e-29	6.71847160425219e-27
"ENSMUSG00000022091"	-1.693751527203	5.74659156333523	1.06350222432106e-28	7.13996720601003e-27
"ENSMUSG00000026688"	2.44543665543811	4.7939634843061	1.13867620539918e-28	7.61006676640089e-27
"ENSMUSG00000020423"	2.15501568781713	4.82111602475981	1.53369204000576e-28	1.02038880319302e-26
